head_coach,shots,pim,hits
Dallas Eakins,41.0,11.0,16.0
John Tortorella,39.0,6.0,12.0
Rod Brind'Amour,28.0,4.0,11.0
Mike Sullivan,33.0,2.0,16.0
Claude Julien,30.0,8.0,19.0
Bruce Boudreau,26.0,2.0,17.0
Rick Tocchet,19.0,8.0,19.0
Dallas Eakins,27.0,13.0,19.0
Jared Bednar,36.0,6.0,40.0
Dave Tippett,36.0,10.0,11.0
Barry Trotz,21.0,10.0,39.0
Rick Bowness,20.0,8.0,25.0
Ralph Krueger,17.0,12.0,29.0
Todd McLellan,25.0,8.0,25.0
Peter Laviolette,37.0,8.0,18.0
Jeremy Colliton,32.0,4.0,8.0
Rod Brind'Amour,40.0,12.0,21.0
Claude Julien,43.0,4.0,21.0
Bruce Boudreau,33.0,12.0,22.0
Gerard Gallant,43.0,14.0,29.0
Rick Bowness,31.0,8.0,24.0
Todd Reirden,29.0,13.0,13.0
Sheldon Keefe,40.0,6.0,13.0
Mike Sullivan,26.0,6.0,23.0
Todd McLellan,27.0,6.0,14.0
Dallas Eakins,28.0,6.0,25.0
Paul Maurice,31.0,13.0,15.0
Claude Julien,26.0,15.0,24.0
Peter Laviolette,29.0,8.0,24.0
Jeff Blashill,30.0,17.0,26.0
Alain Vigneault,38.0,8.0,24.0
Jon Cooper,27.0,6.0,35.0
Joel Quenneville,22.0,10.0,15.0
Alain Nasreddine,22.0,14.0,22.0
Jeremy Colliton,32.0,11.0,21.0
Mike Sullivan,29.0,10.0,15.0
Craig Berube,28.0,6.0,11.0
Dallas Eakins,20.0,31.0,30.0
Geoff Ward,30.0,18.0,15.0
Rick Tocchet,45.0,6.0,14.0
Gerard Gallant,37.0,10.0,7.0
Rod Brind'Amour,40.0,8.0,19.0
Geoff Ward,22.0,0.0,19.0
Todd Reirden,42.0,26.0,40.0
Joel Quenneville,30.0,8.0,25.0
John Tortorella,35.0,6.0,31.0
David Quinn,35.0,12.0,18.0
Ralph Krueger,44.0,4.0,22.0
Rick Tocchet,28.0,2.0,16.0
Claude Julien,48.0,6.0,23.0
Alain Nasreddine,44.0,31.0,38.0
Dave Tippett,29.0,11.0,13.0
Jared Bednar,38.0,9.0,27.0
Craig Berube,28.0,10.0,6.0
Bruce Cassidy,25.0,6.0,16.0
Sheldon Keefe,37.0,8.0,8.0
Rod Brind'Amour,42.0,8.0,17.0
John Tortorella,28.0,17.0,32.0
Bruce Boudreau,33.0,6.0,21.0
Mike Sullivan,25.0,10.0,9.0
Craig Berube,35.0,8.0,17.0
Barry Trotz,40.0,18.0,50.0
Geoff Ward,31.0,4.0,23.0
Gerard Gallant,29.0,10.0,25.0
Todd McLellan,38.0,2.0,18.0
Jared Bednar,43.0,10.0,21.0
David Quinn,38.0,8.0,30.0
Claude Julien,43.0,2.0,15.0
Jeff Blashill,39.0,8.0,24.0
Peter Laviolette,48.0,8.0,29.0
Todd Reirden,29.0,6.0,29.0
Todd McLellan,51.0,2.0,16.0
Rick Tocchet,28.0,11.0,17.0
Alain Vigneault,27.0,2.0,14.0
Paul Maurice,26.0,4.0,21.0
Alain Nasreddine,34.0,23.0,29.0
Jeremy Colliton,30.0,8.0,9.0
Barry Trotz,28.0,8.0,18.0
Ralph Krueger,26.0,22.0,25.0
Jeff Blashill,20.0,8.0,22.0
Claude Julien,43.0,10.0,24.0
Rick Bowness,25.0,10.0,38.0
Alain Vigneault,35.0,8.0,18.0
Travis Green,28.0,10.0,14.0
D.J. Smith,26.0,26.0,55.0
Bruce Cassidy,30.0,8.0,13.0
Barry Trotz,22.0,6.0,24.0
Dallas Eakins,28.0,7.0,39.0
Sheldon Keefe,29.0,6.0,7.0
Jon Cooper,27.0,15.0,19.0
Claude Julien,30.0,4.0,29.0
Joel Quenneville,37.0,8.0,15.0
Bob Boughner,34.0,11.0,20.0
Paul Maurice,26.0,10.0,31.0
Alain Vigneault,35.0,6.0,11.0
Jeremy Colliton,33.0,2.0,11.0
David Quinn,33.0,16.0,23.0
Craig Berube,39.0,8.0,31.0
Peter Laviolette,33.0,8.0,26.0
John Tortorella,33.0,4.0,33.0
Dave Tippett,27.0,4.0,19.0
Jon Cooper,23.0,15.0,29.0
Alain Nasreddine,31.0,6.0,25.0
Bob Boughner,32.0,4.0,27.0
Joel Quenneville,31.0,6.0,21.0
Sheldon Keefe,28.0,4.0,10.0
David Quinn,27.0,10.0,15.0
Dallas Eakins,28.0,6.0,33.0
Craig Berube,27.0,10.0,16.0
Jeremy Colliton,33.0,6.0,14.0
Alain Vigneault,38.0,2.0,37.0
Todd Reirden,29.0,24.0,20.0
Jeff Blashill,23.0,8.0,16.0
Dave Tippett,26.0,6.0,31.0
Bob Boughner,28.0,4.0,23.0
Joel Quenneville,34.0,8.0,8.0
Paul Maurice,21.0,12.0,15.0
Craig Berube,31.0,10.0,29.0
Barry Trotz,33.0,0.0,25.0
Mike Sullivan,37.0,15.0,21.0
